fig|3702.11.peg.1	ATMG00010	ATMG00010.1
fig|3702.11.peg.22974	AT1G26730	AT1G26730.1
fig|3702.11.peg.22975	AT1G26740	AT1G26740.1
fig|3702.11.peg.22976	AT1G26750	AT1G26750.1
fig|3702.11.peg.22977	AT1G26760	AT1G26760.1
fig|3702.11.peg.22978	AT1G26761	AT1G26761.1
fig|3702.11.peg.22979	AT1G26762	AT1G26762.1
fig|3702.11.peg.2298	AT5G22200	AT5G22200.1
fig|3702.11.peg.22980	AT1G26770	AT1G26770.2
fig|3702.11.peg.22981	AT1G26771	AT1G26771.1
fig|3702.11.peg.22982	AT1G26773	AT1G26773.1
fig|3702.11.peg.22983	AT1G26780	AT1G26780.2
fig|3702.11.peg.22984	AT1G26790	AT1G26790.1
fig|3702.11.peg.22985	AT1G26795	AT1G26795.1
fig|3702.11.peg.22986	AT1G26796	AT1G26796.1
fig|3702.11.peg.22987	AT1G26797	AT1G26797.1
fig|3702.11.peg.22988	AT1G26798	AT1G26798.1
fig|3702.11.peg.22989	AT1G26799	AT1G26799.1
fig|3702.11.peg.2299	AT5G22210	AT5G22210.2
fig|3702.11.peg.22990	AT1G26800	AT1G26800.1
fig|3702.11.peg.22991	AT1G26810	AT1G26810.1
fig|3702.11.peg.22992	AT1G26815	AT1G26815.1
fig|3702.11.peg.22993	AT1G26820	AT1G26820.1
fig|3702.11.peg.22994	AT1G26830	AT1G26830.1
fig|3702.11.peg.22995	AT1G26840	AT1G26840.1
fig|3702.11.peg.22996	AT1G26850	AT1G26850.2
fig|3702.11.peg.22997	AT1G26870	AT1G26870.1
fig|3702.11.peg.22998	AT1G26880	AT1G26880.1
fig|3702.11.peg.22999	AT1G26890	AT1G26890.1
fig|3702.11.peg.23	ATMG00280	ATMG00280.1
fig|3702.11.peg.230	AT5G01180	AT5G01180.1
fig|3702.11.peg.2300	AT5G22220	AT5G22220.2
fig|3702.11.peg.23000	AT1G26900	AT1G26900.1
fig|3702.11.peg.23001	AT1G26910	AT1G26910.1
fig|3702.11.peg.23002	AT1G26916	AT1G26916.1
fig|3702.11.peg.23003	AT1G26920	AT1G26920.1
fig|3702.11.peg.23004	AT1G26921	AT1G26921.1
fig|3702.11.peg.23005	AT1G26930	AT1G26930.1
fig|3702.11.peg.23006	AT1G26940	AT1G26940.1
fig|3702.11.peg.23007	AT1G26945	AT1G26945.1
fig|3702.11.peg.23008	AT1G26960	AT1G26960.1
fig|3702.11.peg.23009	AT1G26970	AT1G26970.1
fig|3702.11.peg.2301	AT5G22240	AT5G22240.1
fig|3702.11.peg.23010	AT1G26976	AT1G26976.1
fig|3702.11.peg.23011	AT1G27000	AT1G27000.1
fig|3702.11.peg.23012	AT1G27008	AT1G27008.1
fig|3702.11.peg.23013	AT1G27020	AT1G27020.1
fig|3702.11.peg.23014	AT1G27030	AT1G27030.1
fig|3702.11.peg.23015	AT1G27040	AT1G27040.1
fig|3702.11.peg.23016	AT1G27045	AT1G27045.1
fig|3702.11.peg.23017	AT1G27050	AT1G27050.1
fig|3702.11.peg.23018	AT1G27060	AT1G27060.1
fig|3702.11.peg.23019	AT1G27070	AT1G27070.1
fig|3702.11.peg.2302	AT5G22250	AT5G22250.1
fig|3702.11.peg.23020	AT1G27080	AT1G27080.1
fig|3702.11.peg.23021	AT1G27090	AT1G27090.1
fig|3702.11.peg.23022	AT1G27100	AT1G27100.1
fig|3702.11.peg.23023	AT1G27110	AT1G27110.1
fig|3702.11.peg.23024	AT1G27120	AT1G27120.1
fig|3702.11.peg.23025	AT1G27130	AT1G27130.1
fig|3702.11.peg.23026	AT1G27135	AT1G27135.1
fig|3702.11.peg.23027	AT1G27140	AT1G27140.1
fig|3702.11.peg.23028	AT1G27150	AT1G27150.1
fig|3702.11.peg.23029	AT1G27160	AT1G27160.1
fig|3702.11.peg.2303	AT5G22260	AT5G22260.1
fig|3702.11.peg.23030	AT1G27170	AT1G27170.1
fig|3702.11.peg.23031	AT1G27180	AT1G27180.1
fig|3702.11.peg.23032	AT1G27190	AT1G27190.1
fig|3702.11.peg.23033	AT1G27200	AT1G27200.1
fig|3702.11.peg.23034	AT1G27210	AT1G27210.1
fig|3702.11.peg.23035	AT1G27213	AT1G27213.1
fig|3702.11.peg.23036	AT1G27220	AT1G27220.1
fig|3702.11.peg.23037	AT1G27240	AT1G27240.1
fig|3702.11.peg.23038	AT1G27250	AT1G27250.1
fig|3702.11.peg.23039	AT1G27260	AT1G27260.1
fig|3702.11.peg.2304	AT5G22270	AT5G22270.1
fig|3702.11.peg.23040	AT1G27270	AT1G27270.1
fig|3702.11.peg.23041	AT1G27280	AT1G27280.1
fig|3702.11.peg.23042	AT1G27290	AT1G27290.1
fig|3702.11.peg.23043	AT1G27300	AT1G27300.1
fig|3702.11.peg.23044	AT1G27310	AT1G27310.1
fig|3702.11.peg.23045	AT1G27320	AT1G27320.1
fig|3702.11.peg.23046	AT1G27330	AT1G27330.1
fig|3702.11.peg.23047	AT1G27340	AT1G27340.1
fig|3702.11.peg.23048	AT1G27350	AT1G27350.1
fig|3702.11.peg.23049	AT1G27360	AT1G27360.1
fig|3702.11.peg.2305	AT5G22280	AT5G22280.3
fig|3702.11.peg.23050	AT1G27370	AT1G27370.2
fig|3702.11.peg.23051	AT1G27380	AT1G27380.2
fig|3702.11.peg.23052	AT1G27385	AT1G27385.4
fig|3702.11.peg.23053	AT1G27390	AT1G27390.1
fig|3702.11.peg.23054	AT1G27400	AT1G27400.1
fig|3702.11.peg.23055	AT1G27410	AT1G27410.1
fig|3702.11.peg.23056	AT1G27420	AT1G27420.1
fig|3702.11.peg.23057	AT1G27430	AT1G27430.1
fig|3702.11.peg.23058	AT1G27435	AT1G27435.1
fig|3702.11.peg.23059	AT1G27440	AT1G27440.1
fig|3702.11.peg.2306	AT5G22290	AT5G22290.1
fig|3702.11.peg.23060	AT1G27450	AT1G27450.3
fig|3702.11.peg.23061	AT1G27460	AT1G27460.1
fig|3702.11.peg.23062	AT1G27461	AT1G27461.1
fig|3702.11.peg.23063	AT1G27470	AT1G27470.1
fig|3702.11.peg.23064	AT1G27480	AT1G27480.1
fig|3702.11.peg.23065	AT1G27490	AT1G27490.1
fig|3702.11.peg.23066	AT1G27500	AT1G27500.1
fig|3702.11.peg.23067	AT1G27510	AT1G27510.1
fig|3702.11.peg.23068	AT1G27520	AT1G27520.1
fig|3702.11.peg.23069	AT1G27530	AT1G27530.1
fig|3702.11.peg.2307	AT5G22300	AT5G22300.1
fig|3702.11.peg.23070	AT1G27540	AT1G27540.1
fig|3702.11.peg.23071	AT1G27550	AT1G27550.1
fig|3702.11.peg.23072	AT1G27565	AT1G27565.1
fig|3702.11.peg.23073	AT1G27570	AT1G27570.1
fig|3702.11.peg.23074	AT1G27580	AT1G27580.1
fig|3702.11.peg.23075	AT1G27590	AT1G27590.1
fig|3702.11.peg.23076	AT1G27595	AT1G27595.1
fig|3702.11.peg.23077	AT1G27600	AT1G27600.2
fig|3702.11.peg.23078	AT1G27610	AT1G27610.1
fig|3702.11.peg.23079	AT1G27620	AT1G27620.1
fig|3702.11.peg.2308	AT5G22310	AT5G22310.1
fig|3702.11.peg.23080	AT1G27630	AT1G27630.1
fig|3702.11.peg.23081	AT1G27640	AT1G27640.1
fig|3702.11.peg.23082	AT1G27650	AT1G27650.1
fig|3702.11.peg.23083	AT1G27660	AT1G27660.1
fig|3702.11.peg.23084	AT1G27670	AT1G27670.1
fig|3702.11.peg.23085	AT1G27680	AT1G27680.1
fig|3702.11.peg.23086	AT1G27690	AT1G27690.1
fig|3702.11.peg.23087	AT1G27695	AT1G27695.2
fig|3702.11.peg.23088	AT1G27700	AT1G27700.1
fig|3702.11.peg.23089	AT1G27710	AT1G27710.1
fig|3702.11.peg.2309	AT5G22320	AT5G22320.1
fig|3702.11.peg.23090	AT1G27720	AT1G27720.1
fig|3702.11.peg.23091	AT1G27730	AT1G27730.1
fig|3702.11.peg.23092	AT1G27740	AT1G27740.1
fig|3702.11.peg.23093	AT1G27750	AT1G27750.1
fig|3702.11.peg.23094	AT1G27752	AT1G27752.1
fig|3702.11.peg.23095	AT1G27760	AT1G27760.3
fig|3702.11.peg.23096	AT1G27770	AT1G27770.1
fig|3702.11.peg.23097	AT1G27820	AT1G27820.1
fig|3702.11.peg.23098	AT1G27840	AT1G27840.3
fig|3702.11.peg.23099	AT1G27850	AT1G27850.1
fig|3702.11.peg.231	AT5G01190	AT5G01190.1
fig|3702.11.peg.2310	AT5G22330	AT5G22330.1
fig|3702.11.peg.23100	AT1G27860	AT1G27860.1
fig|3702.11.peg.23101	AT1G27870	AT1G27870.1
fig|3702.11.peg.23102	AT1G27880	AT1G27880.1
fig|3702.11.peg.23103	AT1G27890	AT1G27890.1
fig|3702.11.peg.23104	AT1G27900	AT1G27900.1
fig|3702.11.peg.23105	AT1G27910	AT1G27910.1
fig|3702.11.peg.23106	AT1G27920	AT1G27920.1
fig|3702.11.peg.23107	AT1G27930	AT1G27930.1
fig|3702.11.peg.23108	AT1G27940	AT1G27940.1
fig|3702.11.peg.23109	AT1G27950	AT1G27950.1
fig|3702.11.peg.2311	AT5G22340	AT5G22340.2
fig|3702.11.peg.23110	AT1G27960	AT1G27960.1
fig|3702.11.peg.23111	AT1G27970	AT1G27970.2
fig|3702.11.peg.23112	AT1G27980	AT1G27980.1
fig|3702.11.peg.23113	AT1G27990	AT1G27990.1
fig|3702.11.peg.23114	AT1G28000	AT1G28000.1
fig|3702.11.peg.23115	AT1G28007	AT1G28007.1
fig|3702.11.peg.23116	AT1G28010	AT1G28010.1
fig|3702.11.peg.23117	AT1G28020	AT1G28020.1
fig|3702.11.peg.23118	AT1G28030	AT1G28030.1
fig|3702.11.peg.23119	AT1G28040	AT1G28040.1
fig|3702.11.peg.2312	AT5G22350	AT5G22350.1
fig|3702.11.peg.23120	AT1G28050	AT1G28050.1
fig|3702.11.peg.23121	AT1G28060	AT1G28060.1
fig|3702.11.peg.23122	AT1G28070	AT1G28070.1
fig|3702.11.peg.23123	AT1G28080	AT1G28080.1
fig|3702.11.peg.23124	AT1G28090	AT1G28090.1
fig|3702.11.peg.23125	AT1G28100	AT1G28100.4
fig|3702.11.peg.23126	AT1G28110	AT1G28110.2
fig|3702.11.peg.23127	AT1G28120	AT1G28120.1
fig|3702.11.peg.23128	AT1G28130	AT1G28130.1
fig|3702.11.peg.23129	AT1G28135	AT1G28135.1
fig|3702.11.peg.2313	AT5G22355	AT5G22355.1
fig|3702.11.peg.23130	AT1G28140	AT1G28140.1
fig|3702.11.peg.23131	AT1G28150	AT1G28150.1
fig|3702.11.peg.23132	AT1G28160	AT1G28160.1
fig|3702.11.peg.23133	AT1G28170	AT1G28170.1
fig|3702.11.peg.23134	AT1G28180	AT1G28180.1
fig|3702.11.peg.23135	AT1G28190	AT1G28190.1
fig|3702.11.peg.23136	AT1G28200	AT1G28200.1
fig|3702.11.peg.23137	AT1G28210	AT1G28210.2
fig|3702.11.peg.23138	AT1G28220	AT1G28220.1
fig|3702.11.peg.23139	AT1G28230	AT1G28230.1
fig|3702.11.peg.2314	AT5G22360	AT5G22360.1
fig|3702.11.peg.23140	AT1G28240	AT1G28240.1
fig|3702.11.peg.23141	AT1G28250	AT1G28250.1
fig|3702.11.peg.23142	AT1G28260	AT1G28260.1
fig|3702.11.peg.23143	AT1G28270	AT1G28270.1
fig|3702.11.peg.23144	AT1G28280	AT1G28280.1
fig|3702.11.peg.23145	AT1G28281	AT1G28281.1
fig|3702.11.peg.23146	AT1G28290	AT1G28290.1
fig|3702.11.peg.23147	AT1G28300	AT1G28300.1
fig|3702.11.peg.23148	AT1G28304	AT1G28304.1
fig|3702.11.peg.23149	AT1G28305	AT1G28305.1
fig|3702.11.peg.2315	AT5G22370	AT5G22370.2
fig|3702.11.peg.23150	AT1G28306	AT1G28306.1
fig|3702.11.peg.23151	AT1G28307	AT1G28307.1
fig|3702.11.peg.23152	AT1G28310	AT1G28310.2
fig|3702.11.peg.23153	AT1G28320	AT1G28320.1
fig|3702.11.peg.23154	AT1G28327	AT1G28327.1
fig|3702.11.peg.23155	AT1G28330	AT1G28330.5
fig|3702.11.peg.23156	AT1G28335	AT1G28335.1
fig|3702.11.peg.23157	AT1G28340	AT1G28340.1
fig|3702.11.peg.23158	AT1G28350	AT1G28350.1
fig|3702.11.peg.23159	AT1G28360	AT1G28360.1
fig|3702.11.peg.2316	AT5G22380	AT5G22380.1
fig|3702.11.peg.23160	AT1G28370	AT1G28370.1
fig|3702.11.peg.23161	AT1G28375	AT1G28375.1
fig|3702.11.peg.23162	AT1G28380	AT1G28380.1
fig|3702.11.peg.23163	AT1G28390	AT1G28390.2
fig|3702.11.peg.23164	AT1G28395	AT1G28395.3
fig|3702.11.peg.23165	AT1G28400	AT1G28400.1
fig|3702.11.peg.23166	AT1G28410	AT1G28410.1
fig|3702.11.peg.23167	AT1G28420	AT1G28420.1
fig|3702.11.peg.23168	AT1G28430	AT1G28430.1
fig|3702.11.peg.23169	AT1G28440	AT1G28440.1
fig|3702.11.peg.2317	AT5G22390	AT5G22390.1
fig|3702.11.peg.23170	AT1G28450	AT1G28450.1
fig|3702.11.peg.23171	AT1G28460	AT1G28460.1
fig|3702.11.peg.23172	AT1G28470	AT1G28470.1
fig|3702.11.peg.23173	AT1G28480	AT1G28480.1
fig|3702.11.peg.23174	AT1G28490	AT1G28490.1
fig|3702.11.peg.23175	AT1G28500	AT1G28500.1
fig|3702.11.peg.23176	AT1G28510	AT1G28510.1
fig|3702.11.peg.23177	AT1G28520	AT1G28520.2
fig|3702.11.peg.23178	AT1G28530	AT1G28530.1
fig|3702.11.peg.23179	AT1G28540	AT1G28540.1
fig|3702.11.peg.2318	AT5G22400	AT5G22400.1
fig|3702.11.peg.23180	AT1G28550	AT1G28550.1
fig|3702.11.peg.23181	AT1G28560	AT1G28560.2
fig|3702.11.peg.23182	AT1G28570	AT1G28570.1
fig|3702.11.peg.23183	AT1G28580	AT1G28580.1
fig|3702.11.peg.23184	AT1G28590	AT1G28590.1
fig|3702.11.peg.23185	AT1G28600	AT1G28600.1
fig|3702.11.peg.23186	AT1G28610	AT1G28610.2
fig|3702.11.peg.23187	AT1G28630	AT1G28630.4
fig|3702.11.peg.23188	AT1G28640	AT1G28640.1
fig|3702.11.peg.23189	AT1G28650	AT1G28650.1
fig|3702.11.peg.2319	AT5G22410	AT5G22410.1
fig|3702.11.peg.23190	AT1G28660	AT1G28660.1
fig|3702.11.peg.23191	AT1G28670	AT1G28670.1
fig|3702.11.peg.23192	AT1G28680	AT1G28680.1
fig|3702.11.peg.23193	AT1G28690	AT1G28690.1
fig|3702.11.peg.23194	AT1G28695	AT1G28695.1
fig|3702.11.peg.23195	AT1G28700	AT1G28700.1
fig|3702.11.peg.23196	AT1G28710	AT1G28710.1
fig|3702.11.peg.23197	AT1G28815	AT1G28815.1
fig|3702.11.peg.23198	AT1G28760	AT1G28760.1
fig|3702.11.peg.23199	AT1G28960	AT1G28960.5
fig|3702.11.peg.232	AT5G01200	AT5G01200.1
fig|3702.11.peg.2320	AT5G22420	AT5G22420.1
fig|3702.11.peg.23200	AT1G29000	AT1G29000.1
fig|3702.11.peg.23201	AT1G29010	AT1G29010.1
fig|3702.11.peg.23202	AT1G29020	AT1G29020.1
fig|3702.11.peg.23203	AT1G29025	AT1G29025.1
fig|3702.11.peg.23204	AT1G29030	AT1G29030.1
fig|3702.11.peg.23205	AT1G29040	AT1G29040.4
fig|3702.11.peg.23206	AT1G29041	AT1G29041.1
fig|3702.11.peg.23207	AT1G29050	AT1G29050.1
fig|3702.11.peg.23208	AT1G29060	AT1G29060.1
fig|3702.11.peg.23209	AT1G29070	AT1G29070.1
fig|3702.11.peg.2321	AT5G22430	AT5G22430.1
fig|3702.11.peg.23210	AT1G29080	AT1G29080.1
fig|3702.11.peg.23211	AT1G29090	AT1G29090.1
fig|3702.11.peg.23212	AT1G29100	AT1G29100.1
fig|3702.11.peg.23213	AT1G29110	AT1G29110.1
fig|3702.11.peg.23214	AT1G29120	AT1G29120.5
fig|3702.11.peg.23215	AT1G29140	AT1G29140.1
fig|3702.11.peg.23216	AT1G29150	AT1G29150.1
fig|3702.11.peg.23217	AT1G29160	AT1G29160.1
fig|3702.11.peg.23218	AT1G29170	AT1G29170.1
fig|3702.11.peg.23219	AT1G29179	AT1G29179.1
fig|3702.11.peg.2322	AT5G22440	AT5G22440.2
fig|3702.11.peg.23220	AT1G29180	AT1G29180.1
fig|3702.11.peg.23221	AT1G29195	AT1G29195.1
fig|3702.11.peg.23222	AT1G29200	AT1G29200.2
fig|3702.11.peg.23223	AT1G29220	AT1G29220.2
fig|3702.11.peg.23224	AT1G29230	AT1G29230.1
fig|3702.11.peg.23225	AT1G29240	AT1G29240.1
fig|3702.11.peg.23226	AT1G29250	AT1G29250.1
fig|3702.11.peg.23227	AT1G29260	AT1G29260.1
fig|3702.11.peg.23228	AT1G29270	AT1G29270.1
fig|3702.11.peg.23229	AT1G29280	AT1G29280.1
fig|3702.11.peg.2323	AT5G22450	AT5G22450.1
fig|3702.11.peg.23230	AT1G29290	AT1G29290.1
fig|3702.11.peg.23231	AT1G29300	AT1G29300.1
fig|3702.11.peg.23232	AT1G29310	AT1G29310.1
fig|3702.11.peg.23233	AT1G29320	AT1G29320.1
fig|3702.11.peg.23234	AT1G29330	AT1G29330.1
fig|3702.11.peg.23235	AT1G29340	AT1G29340.1
fig|3702.11.peg.23236	AT1G29350	AT1G29350.1
fig|3702.11.peg.23237	AT1G29355	AT1G29355.1
fig|3702.11.peg.23238	AT1G29370	AT1G29370.1
fig|3702.11.peg.23239	AT1G29380	AT1G29380.1
fig|3702.11.peg.2324	AT5G22460	AT5G22460.1
fig|3702.11.peg.23240	AT1G29390	AT1G29390.1
fig|3702.11.peg.23241	AT1G29395	AT1G29395.1
fig|3702.11.peg.23242	AT1G29400	AT1G29400.1
fig|3702.11.peg.23243	AT1G29410	AT1G29410.2
fig|3702.11.peg.23244	AT1G29418	AT1G29418.1
fig|3702.11.peg.23245	AT1G29420	AT1G29420.1
fig|3702.11.peg.23246	AT1G29430	AT1G29430.1
fig|3702.11.peg.23247	AT1G29440	AT1G29440.1
fig|3702.11.peg.23248	AT1G29450	AT1G29450.1
fig|3702.11.peg.23249	AT1G29460	AT1G29460.1
fig|3702.11.peg.2325	AT5G22470	AT5G22470.1
fig|3702.11.peg.23250	AT1G29465	AT1G29465.1
fig|3702.11.peg.23251	AT1G29470	AT1G29470.2
fig|3702.11.peg.23252	AT1G29480	AT1G29480.1
fig|3702.11.peg.23253	AT1G29490	AT1G29490.1
fig|3702.11.peg.23254	AT1G29500	AT1G29500.1
fig|3702.11.peg.23255	AT1G29510	AT1G29510.1
fig|3702.11.peg.23256	AT1G29520	AT1G29520.1
fig|3702.11.peg.23257	AT1G29530	AT1G29530.1
fig|3702.11.peg.23258	AT1G29540	AT1G29540.1
fig|3702.11.peg.23259	AT1G29550	AT1G29550.1
fig|3702.11.peg.2326	AT5G22480	AT5G22480.1
fig|3702.11.peg.23260	AT1G29560	AT1G29560.1
fig|3702.11.peg.23261	AT1G29570	AT1G29570.1
fig|3702.11.peg.23262	AT1G29580	AT1G29580.1
fig|3702.11.peg.23263	AT1G29590	AT1G29590.2
fig|3702.11.peg.23264	AT1G29600	AT1G29600.1
fig|3702.11.peg.23265	AT1G29620	AT1G29620.1
fig|3702.11.peg.23266	AT1G29630	AT1G29630.2
fig|3702.11.peg.23267	AT1G29640	AT1G29640.1
fig|3702.11.peg.23268	AT1G29660	AT1G29660.1
fig|3702.11.peg.23269	AT1G29670	AT1G29670.1
fig|3702.11.peg.2327	AT5G22490	AT5G22490.1
fig|3702.11.peg.23270	AT1G29680	AT1G29680.1
fig|3702.11.peg.23271	AT1G29690	AT1G29690.1
fig|3702.11.peg.23272	AT1G29700	AT1G29700.1
fig|3702.11.peg.23273	AT1G29710	AT1G29710.1
fig|3702.11.peg.23274	AT1G29720	AT1G29720.1
fig|3702.11.peg.23275	AT1G29730	AT1G29730.1
fig|3702.11.peg.23276	AT1G29740	AT1G29740.1
fig|3702.11.peg.23277	AT1G29750	AT1G29750.2
fig|3702.11.peg.23278	AT1G29760	AT1G29760.1
fig|3702.11.peg.23279	AT1G29770	AT1G29770.1
fig|3702.11.peg.2328	AT5G22500	AT5G22500.1
fig|3702.11.peg.23280	AT1G29780	AT1G29780.1
fig|3702.11.peg.23281	AT1G29790	AT1G29790.1
fig|3702.11.peg.23282	AT1G29800	AT1G29800.1
fig|3702.11.peg.23283	AT1G29810	AT1G29810.1
fig|3702.11.peg.23284	AT1G29820	AT1G29820.2
fig|3702.11.peg.23285	AT1G29830	AT1G29830.3
fig|3702.11.peg.23286	AT1G29840	AT1G29840.1
fig|3702.11.peg.23287	AT1G29850	AT1G29850.3
fig|3702.11.peg.23288	AT1G29860	AT1G29860.1
fig|3702.11.peg.23289	AT1G29870	AT1G29870.1
fig|3702.11.peg.2329	AT5G22510	AT5G22510.1
fig|3702.11.peg.23290	AT1G29880	AT1G29880.1
fig|3702.11.peg.23291	AT1G29890	AT1G29890.2
fig|3702.11.peg.23292	AT1G29900	AT1G29900.1
fig|3702.11.peg.23293	AT1G29910	AT1G29910.1
fig|3702.11.peg.23294	AT1G29920	AT1G29920.1
fig|3702.11.peg.23295	AT1G29930	AT1G29930.1
fig|3702.11.peg.23296	AT1G29940	AT1G29940.1
fig|3702.11.peg.23297	AT1G29950	AT1G29950.1
fig|3702.11.peg.23298	AT1G29951	AT1G29951.1
fig|3702.11.peg.23299	AT1G29952	AT1G29952.1
fig|3702.11.peg.233	AT5G01210	AT5G01210.1
fig|3702.11.peg.2330	AT5G22520	AT5G22520.1
fig|3702.11.peg.23300	AT1G29960	AT1G29960.1
fig|3702.11.peg.23301	AT1G29962	AT1G29962.1
fig|3702.11.peg.23302	AT1G29965	AT1G29965.1
fig|3702.11.peg.23303	AT1G29970	AT1G29970.2
fig|3702.11.peg.23304	AT1G29980	AT1G29980.1
fig|3702.11.peg.23305	AT1G29990	AT1G29990.1
fig|3702.11.peg.23306	AT1G30000	AT1G30000.1
fig|3702.11.peg.23307	AT1G30010	AT1G30010.1
fig|3702.11.peg.23308	AT1G30020	AT1G30020.1
fig|3702.11.peg.23309	AT1G30016	AT1G30016.1
fig|3702.11.peg.2331	AT5G22530	AT5G22530.1
fig|3702.11.peg.23310	AT1G30040	AT1G30040.1
fig|3702.11.peg.23311	AT1G30050	AT1G30050.1
fig|3702.11.peg.23312	AT1G30060	AT1G30060.1
fig|3702.11.peg.23313	AT1G30070	AT1G30070.2
fig|3702.11.peg.23314	AT1G30080	AT1G30080.1
fig|3702.11.peg.23315	AT1G30090	AT1G30090.1
fig|3702.11.peg.23316	AT1G30100	AT1G30100.1
fig|3702.11.peg.23317	AT1G30110	AT1G30110.2
fig|3702.11.peg.23318	AT1G30120	AT1G30120.1
fig|3702.11.peg.23319	AT1G30130	AT1G30130.2
fig|3702.11.peg.2332	AT5G22540	AT5G22540.1
fig|3702.11.peg.23320	AT1G30135	AT1G30135.1
fig|3702.11.peg.23321	AT1G30140	AT1G30140.1
fig|3702.11.peg.23322	AT1G30160	AT1G30160.2
fig|3702.11.peg.23323	AT1G30170	AT1G30170.1
fig|3702.11.peg.23324	AT1G30190	AT1G30190.1
fig|3702.11.peg.23325	AT1G30200	AT1G30200.2
fig|3702.11.peg.23326	AT1G30210	AT1G30210.2
fig|3702.11.peg.23327	AT1G30220	AT1G30220.1
fig|3702.11.peg.23328	AT1G30230	AT1G30230.2
fig|3702.11.peg.23329	AT1G30240	AT1G30240.2
fig|3702.11.peg.2333	AT5G22545	AT5G22545.1
fig|3702.11.peg.23330	AT1G30250	AT1G30250.1
fig|3702.11.peg.23331	AT1G30260	AT1G30260.1
fig|3702.11.peg.23332	AT1G30270	AT1G30270.1
fig|3702.11.peg.23333	AT1G30280	AT1G30280.1
fig|3702.11.peg.23334	AT1G30290	AT1G30290.1
fig|3702.11.peg.23335	AT1G30300	AT1G30300.1
fig|3702.11.peg.23336	AT1G30320	AT1G30320.1
fig|3702.11.peg.23337	AT1G30330	AT1G30330.2
fig|3702.11.peg.23338	AT1G30350	AT1G30350.1
fig|3702.11.peg.23339	AT1G30360	AT1G30360.1
fig|3702.11.peg.2334	AT5G22550	AT5G22550.2
fig|3702.11.peg.23340	AT1G30370	AT1G30370.1
fig|3702.11.peg.23341	AT1G30380	AT1G30380.1
fig|3702.11.peg.23342	AT1G30400	AT1G30400.2
fig|3702.11.peg.23343	AT1G30410	AT1G30410.1
fig|3702.11.peg.23344	AT1G30420	AT1G30420.1
fig|3702.11.peg.23345	AT1G30440	AT1G30440.1
fig|3702.11.peg.23346	AT1G30450	AT1G30450.2
fig|3702.11.peg.23347	AT1G30455	AT1G30455.1
fig|3702.11.peg.23348	AT1G30460	AT1G30460.1
fig|3702.11.peg.23349	AT1G30470	AT1G30470.1
fig|3702.11.peg.2335	AT5G22555	AT5G22555.1
fig|3702.11.peg.23350	AT1G30473	AT1G30473.1
fig|3702.11.peg.23351	AT1G30475	AT1G30475.1
fig|3702.11.peg.23352	AT1G30480	AT1G30480.1
fig|3702.11.peg.23353	AT1G30490	AT1G30490.1
fig|3702.11.peg.23354	AT1G30500	AT1G30500.2
fig|3702.11.peg.23355	AT1G30510	AT1G30510.2
fig|3702.11.peg.23356	AT1G30515	AT1G30515.1
fig|3702.11.peg.23357	AT1G30520	AT1G30520.1
fig|3702.11.peg.23358	AT1G30530	AT1G30530.1
fig|3702.11.peg.23359	AT1G30540	AT1G30540.1
fig|3702.11.peg.2336	AT5G22560	AT5G22560.1
fig|3702.11.peg.23360	AT1G30550	AT1G30550.1
fig|3702.11.peg.23361	AT1G30560	AT1G30560.1
fig|3702.11.peg.23362	AT1G30570	AT1G30570.1
fig|3702.11.peg.23363	AT1G30580	AT1G30580.1
fig|3702.11.peg.23364	AT1G30590	AT1G30590.1
fig|3702.11.peg.23365	AT1G30600	AT1G30600.1
fig|3702.11.peg.23366	AT1G30610	AT1G30610.1
fig|3702.11.peg.23367	AT1G30620	AT1G30620.2
fig|3702.11.peg.23368	AT1G30630	AT1G30630.1
fig|3702.11.peg.23369	AT1G30640	AT1G30640.1
fig|3702.11.peg.2337	AT5G22570	AT5G22570.1
fig|3702.11.peg.23370	AT1G30650	AT1G30650.1
fig|3702.11.peg.23371	AT1G30660	AT1G30660.1
fig|3702.11.peg.23372	AT1G30670	AT1G30670.1
fig|3702.11.peg.23373	AT1G30680	AT1G30680.1
fig|3702.11.peg.23374	AT1G30690	AT1G30690.1
fig|3702.11.peg.23375	AT1G30700	AT1G30700.1
fig|3702.11.peg.23376	AT1G30710	AT1G30710.1
fig|3702.11.peg.23377	AT1G30720	AT1G30720.1
fig|3702.11.peg.23378	AT1G30730	AT1G30730.1
fig|3702.11.peg.23379	AT1G30740	AT1G30740.1
fig|3702.11.peg.2338	AT5G22580	AT5G22580.1
fig|3702.11.peg.23380	AT1G30750	AT1G30750.1
fig|3702.11.peg.23381	AT1G30755	AT1G30755.1
fig|3702.11.peg.23382	AT1G30757	AT1G30757.1
fig|3702.11.peg.23383	AT1G30760	AT1G30760.1
fig|3702.11.peg.23384	AT1G30780	AT1G30780.1
fig|3702.11.peg.23385	AT1G30790	AT1G30790.1
fig|3702.11.peg.23386	AT1G30795	AT1G30795.1
fig|3702.11.peg.23387	AT1G30810	AT1G30810.2
fig|3702.11.peg.23388	AT1G30800	AT1G30800.1
fig|3702.11.peg.23389	AT1G30814	AT1G30814.1
fig|3702.11.peg.2339	AT5G22590	AT5G22590.1
fig|3702.11.peg.23390	AT1G30820	AT1G30820.1
fig|3702.11.peg.23391	AT1G30825	AT1G30825.1
