fig|381124.6.peg.10125	GRMZM2G425545	GRMZM2G425545_T01
fig|381124.6.peg.10126	AC185305.3_FG003	AC185305.3_FGT003
fig|381124.6.peg.10127	GRMZM2G385628	GRMZM2G385628_T01
fig|381124.6.peg.10128	GRMZM2G085960	GRMZM2G085960_T02
fig|381124.6.peg.10129	GRMZM5G828886	GRMZM5G828886_T01
fig|381124.6.peg.1013	GRMZM2G091635	GRMZM2G091635_T01
fig|381124.6.peg.10130	GRMZM2G036217	GRMZM2G036217_T01
fig|381124.6.peg.10131	GRMZM2G451604	GRMZM2G451604_T01
fig|381124.6.peg.10132	GRMZM2G150574	GRMZM2G150574_T01
fig|381124.6.peg.10133	GRMZM2G134708	GRMZM2G134708_T01
fig|381124.6.peg.10134	GRMZM2G090241	GRMZM2G090241_T01
fig|381124.6.peg.10135	GRMZM2G391312	GRMZM2G391312_T01
fig|381124.6.peg.10136	GRMZM2G570968	GRMZM2G570968_T01
fig|381124.6.peg.10137	GRMZM2G049525	GRMZM2G049525_T01
fig|381124.6.peg.10138	GRMZM2G032367	GRMZM2G032367_T01
fig|381124.6.peg.10139	GRMZM2G337128	GRMZM2G337128_T01
fig|381124.6.peg.1014	GRMZM2G165418	GRMZM2G165418_T01
fig|381124.6.peg.10140	GRMZM2G473869	GRMZM2G473869_T01
fig|381124.6.peg.10141	GRMZM2G145799	GRMZM2G145799_T01
fig|381124.6.peg.10142	GRMZM2G423027	GRMZM2G423027_T07
fig|381124.6.peg.10143	GRMZM2G123234	GRMZM2G123234_T01
fig|381124.6.peg.10144	GRMZM2G070305	GRMZM2G070305_T01
fig|381124.6.peg.10145	GRMZM2G070422	GRMZM2G070422_T02
fig|381124.6.peg.10146	GRMZM5G822573	GRMZM5G822573_T01
fig|381124.6.peg.10147	GRMZM2G121776	GRMZM2G121776_T01
fig|381124.6.peg.10148	GRMZM2G098496	GRMZM2G098496_T01
fig|381124.6.peg.10149	GRMZM2G141499	GRMZM2G141499_T01
fig|381124.6.peg.1015	GRMZM2G704199	GRMZM2G704199_T01
fig|381124.6.peg.10150	GRMZM2G568099	GRMZM2G568099_T01
fig|381124.6.peg.10151	GRMZM2G125575	GRMZM2G125575_T01
fig|381124.6.peg.10152	GRMZM2G123959	GRMZM2G123959_T01
fig|381124.6.peg.10153	GRMZM2G425999	GRMZM2G425999_T01
fig|381124.6.peg.10154	GRMZM2G070521	GRMZM2G070521_T01
fig|381124.6.peg.10155	AC196096.3_FG005	AC196096.3_FGT005
fig|381124.6.peg.10156	GRMZM2G005046	GRMZM2G005046_T01
fig|381124.6.peg.10157	GRMZM2G084885	GRMZM2G084885_T01
fig|381124.6.peg.10158	GRMZM2G423292	GRMZM2G423292_T01
fig|381124.6.peg.10159	GRMZM5G864377	GRMZM5G864377_T01
fig|381124.6.peg.1016	GRMZM2G131356	GRMZM2G131356_T01
fig|381124.6.peg.10160	GRMZM2G062711	GRMZM2G062711_T01
fig|381124.6.peg.10161	GRMZM2G045531	GRMZM2G045531_T01
fig|381124.6.peg.10162	GRMZM5G802987	GRMZM5G802987_T01
fig|381124.6.peg.10163	GRMZM2G568636	GRMZM2G568636_T01
fig|381124.6.peg.10164	GRMZM2G173344	GRMZM2G173344_T01
fig|381124.6.peg.10165	GRMZM2G142366	GRMZM2G142366_T01
fig|381124.6.peg.10166	GRMZM5G848747	GRMZM5G848747_T01
fig|381124.6.peg.10167	GRMZM2G357955	GRMZM2G357955_T01
fig|381124.6.peg.10168	GRMZM2G517309	GRMZM2G517309_T01
fig|381124.6.peg.10169	GRMZM2G057486	GRMZM2G057486_T01
fig|381124.6.peg.1017	GRMZM5G866457	GRMZM5G866457_T01
fig|381124.6.peg.10170	GRMZM2G057519	GRMZM2G057519_T01
fig|381124.6.peg.10171	GRMZM2G011178	GRMZM2G011178_T01
fig|381124.6.peg.10172	GRMZM2G171367	GRMZM2G171367_T01
fig|381124.6.peg.10173	GRMZM2G388155	GRMZM2G388155_T01
fig|381124.6.peg.10174	GRMZM2G087259	GRMZM2G087259_T01
fig|381124.6.peg.10175	GRMZM2G049281	GRMZM2G049281_T01
fig|381124.6.peg.10176	GRMZM2G471635	GRMZM2G471635_T01
fig|381124.6.peg.10177	GRMZM2G418365	GRMZM2G418365_T01
fig|381124.6.peg.10178	GRMZM2G166695	GRMZM2G166695_T01
fig|381124.6.peg.10179	GRMZM2G157722	GRMZM2G157722_T01
fig|381124.6.peg.1018	GRMZM2G110865	GRMZM2G110865_T01
fig|381124.6.peg.10180	GRMZM2G054139	GRMZM2G054139_T01
fig|381124.6.peg.10181	GRMZM2G103939	GRMZM2G103939_T01
fig|381124.6.peg.10182	GRMZM2G105954	GRMZM2G105954_T01
fig|381124.6.peg.10183	GRMZM2G103702	GRMZM2G103702_T01
fig|381124.6.peg.10184	GRMZM2G549512	GRMZM2G549512_T01
fig|381124.6.peg.10185	GRMZM5G838196	GRMZM5G838196_T02
fig|381124.6.peg.10186	AC192367.2_FG002	AC192367.2_FGT002
fig|381124.6.peg.10187	AC197714.3_FG004	AC197714.3_FGT004
fig|381124.6.peg.10188	GRMZM5G838140	GRMZM5G838140_T01
fig|381124.6.peg.10189	GRMZM2G014193	GRMZM2G014193_T01
fig|381124.6.peg.1019	GRMZM5G859661	GRMZM5G859661_T01
fig|381124.6.peg.10190	GRMZM2G052929	GRMZM2G052929_T01
fig|381124.6.peg.10191	GRMZM2G052823	GRMZM2G052823_T01
