fig|4558.4.peg.1011	Sb10g008690	Sb10g008690.1
fig|4558.4.peg.10110	Sb07g028960	Sb07g028960.1
fig|4558.4.peg.10111	Sb07g028970	Sb07g028970.1
fig|4558.4.peg.10112	Sb07g028980	Sb07g028980.1
fig|4558.4.peg.10113	Sb07g028990	Sb07g028990.1
fig|4558.4.peg.10114	Sb07g029000	Sb07g029000.1
fig|4558.4.peg.10115	Sb07g029010	Sb07g029010.1
fig|4558.4.peg.10116	Sb07g029020	Sb07g029020.1
fig|4558.4.peg.10117	Sb07g029030	Sb07g029030.1
fig|4558.4.peg.10118	Sb07g029040	Sb07g029040.1
fig|4558.4.peg.10119	Sb07g029050	Sb07g029050.1
fig|4558.4.peg.1012	Sb10g008700	Sb10g008700.1
fig|4558.4.peg.10120	Sb07g029060	Sb07g029060.1
fig|4558.4.peg.10121	Sb07g029070	Sb07g029070.1
fig|4558.4.peg.10122	Sb07g029080	Sb07g029080.1
fig|4558.4.peg.10123	Sb07g029085	Sb07g029085.1
fig|4558.4.peg.10124	Sb07g029090	Sb07g029090.1
fig|4558.4.peg.10125	Sb07g029100	Sb07g029100.1
fig|4558.4.peg.10126	Sb07g029110	Sb07g029110.1
fig|4558.4.peg.10127	Sb07g029120	Sb07g029120.1
fig|4558.4.peg.10128	Sb07g029130	Sb07g029130.1
fig|4558.4.peg.10129	Sb07g029140	Sb07g029140.1
fig|4558.4.peg.1013	Sb10g008710	Sb10g008710.1
fig|4558.4.peg.10130	Sb07g029150	Sb07g029150.1
fig|4558.4.peg.10131	Sb07g029160	Sb07g029160.1
fig|4558.4.peg.10132	Sb07g029165	Sb07g029165.1
fig|4558.4.peg.10133	Sb07g029170	Sb07g029170.1
fig|4558.4.peg.10134	Sb07g029180	Sb07g029180.1
fig|4558.4.peg.10135	Sb07g029190	Sb07g029190.1
fig|4558.4.peg.10136	Sb07g029200	Sb07g029200.1
fig|4558.4.peg.10137	Sb07g029210	Sb07g029210.1
fig|4558.4.peg.10138	Sb07g029220	Sb07g029220.1
fig|4558.4.peg.10139	Sb07g029230	Sb07g029230.1
fig|4558.4.peg.1014	Sb10g008720	Sb10g008720.1
fig|4558.4.peg.10140	Sb06g000200	Sb06g000200.1
fig|4558.4.peg.10141	Sb06g000210	Sb06g000210.1
fig|4558.4.peg.10142	Sb06g000220	Sb06g000220.1
fig|4558.4.peg.10143	Sb06g000225	Sb06g000225.1
fig|4558.4.peg.10144	Sb06g000230	Sb06g000230.1
fig|4558.4.peg.10145	Sb06g000232	Sb06g000232.1
fig|4558.4.peg.10146	Sb06g000235	Sb06g000235.1
fig|4558.4.peg.10147	Sb06g000237	Sb06g000237.1
fig|4558.4.peg.10148	Sb06g000240	Sb06g000240.1
fig|4558.4.peg.10149	Sb06g000245	Sb06g000245.1
fig|4558.4.peg.1015	Sb10g008725	Sb10g008725.1
fig|4558.4.peg.10150	Sb06g000250	Sb06g000250.1
fig|4558.4.peg.10151	Sb06g000260	Sb06g000260.1
fig|4558.4.peg.10152	Sb06g000270	Sb06g000270.1
fig|4558.4.peg.10153	Sb06g000280	Sb06g000280.1
fig|4558.4.peg.10154	Sb06g000290	Sb06g000290.1
fig|4558.4.peg.10155	Sb06g000300	Sb06g000300.1
fig|4558.4.peg.10156	Sb06g000310	Sb06g000310.1
fig|4558.4.peg.10157	Sb06g000320	Sb06g000320.1
fig|4558.4.peg.10158	Sb06g000330	Sb06g000330.1
fig|4558.4.peg.10159	Sb06g000340	Sb06g000340.1
fig|4558.4.peg.1016	Sb10g008730	Sb10g008730.1
fig|4558.4.peg.10160	Sb06g000350	Sb06g000350.1
fig|4558.4.peg.10161	Sb06g000360	Sb06g000360.1
fig|4558.4.peg.10162	Sb06g000370	Sb06g000370.1
fig|4558.4.peg.10163	Sb06g000380	Sb06g000380.1
fig|4558.4.peg.10164	Sb06g000390	Sb06g000390.1
fig|4558.4.peg.10165	Sb06g000400	Sb06g000400.2
fig|4558.4.peg.10166	Sb06g000410	Sb06g000410.1
fig|4558.4.peg.10167	Sb06g000420	Sb06g000420.1
fig|4558.4.peg.10168	Sb06g000430	Sb06g000430.1
fig|4558.4.peg.10169	Sb06g000440	Sb06g000440.1
fig|4558.4.peg.1017	Sb10g008740	Sb10g008740.1
fig|4558.4.peg.10170	Sb06g000450	Sb06g000450.1
fig|4558.4.peg.10171	Sb06g000460	Sb06g000460.1
fig|4558.4.peg.10172	Sb06g000470	Sb06g000470.1
fig|4558.4.peg.10173	Sb06g000480	Sb06g000480.1
fig|4558.4.peg.10174	Sb06g000485	Sb06g000485.1
fig|4558.4.peg.10175	Sb06g000490	Sb06g000490.1
fig|4558.4.peg.10176	Sb06g000495	Sb06g000495.1
fig|4558.4.peg.10177	Sb06g000500	Sb06g000500.1
fig|4558.4.peg.10178	Sb06g000510	Sb06g000510.1
fig|4558.4.peg.10179	Sb06g000520	Sb06g000520.1
fig|4558.4.peg.1018	Sb10g008750	Sb10g008750.1
fig|4558.4.peg.10180	Sb06g000530	Sb06g000530.1
fig|4558.4.peg.10181	Sb06g000533	Sb06g000533.1
fig|4558.4.peg.10182	Sb06g000536	Sb06g000536.1
fig|4558.4.peg.10183	Sb06g000540	Sb06g000540.1
fig|4558.4.peg.10184	Sb06g000550	Sb06g000550.1
fig|4558.4.peg.10185	Sb06g000560	Sb06g000560.1
fig|4558.4.peg.10186	Sb06g000570	Sb06g000570.1
fig|4558.4.peg.10187	Sb06g000572	Sb06g000572.1
fig|4558.4.peg.10188	Sb06g000575	Sb06g000575.1
fig|4558.4.peg.10189	Sb06g000577	Sb06g000577.1
fig|4558.4.peg.1019	Sb10g008760	Sb10g008760.1
fig|4558.4.peg.10190	Sb06g000580	Sb06g000580.1
fig|4558.4.peg.10191	Sb06g000590	Sb06g000590.1
fig|4558.4.peg.10192	Sb06g000600	Sb06g000600.1
fig|4558.4.peg.10193	Sb06g000610	Sb06g000610.1
fig|4558.4.peg.10194	Sb06g000620	Sb06g000620.1
fig|4558.4.peg.10195	Sb06g000630	Sb06g000630.1
fig|4558.4.peg.10196	Sb06g000640	Sb06g000640.1
fig|4558.4.peg.10197	Sb06g000650	Sb06g000650.1
fig|4558.4.peg.10198	Sb06g000653	Sb06g000653.1
fig|4558.4.peg.10199	Sb06g000656	Sb06g000656.1
fig|4558.4.peg.102	Sb10g001090	Sb10g001090.1
fig|4558.4.peg.1020	Sb10g008770	Sb10g008770.1
fig|4558.4.peg.10200	Sb06g000660	Sb06g000660.1
fig|4558.4.peg.10201	Sb06g000665	Sb06g000665.1
fig|4558.4.peg.10202	Sb06g000670	Sb06g000670.1
fig|4558.4.peg.10203	Sb06g000673	Sb06g000673.1
fig|4558.4.peg.10204	Sb06g000676	Sb06g000676.1
fig|4558.4.peg.10205	Sb06g000680	Sb06g000680.1
fig|4558.4.peg.10206	Sb06g000685	Sb06g000685.1
fig|4558.4.peg.10207	Sb06g000690	Sb06g000690.1
fig|4558.4.peg.10208	Sb06g000700	Sb06g000700.1
fig|4558.4.peg.10209	Sb06g000710	Sb06g000710.1
fig|4558.4.peg.1021	Sb10g008780	Sb10g008780.1
fig|4558.4.peg.10210	Sb06g000720	Sb06g000720.1
fig|4558.4.peg.10211	Sb06g000730	Sb06g000730.1
fig|4558.4.peg.10212	Sb06g000740	Sb06g000740.1
fig|4558.4.peg.10213	Sb06g000743	Sb06g000743.1
fig|4558.4.peg.10214	Sb06g000746	Sb06g000746.1
fig|4558.4.peg.10215	Sb06g000750	Sb06g000750.1
fig|4558.4.peg.10216	Sb06g000760	Sb06g000760.1
fig|4558.4.peg.10217	Sb06g000770	Sb06g000770.1
fig|4558.4.peg.10218	Sb06g000780	Sb06g000780.1
fig|4558.4.peg.10219	Sb06g000785	Sb06g000785.1
fig|4558.4.peg.1022	Sb10g008790	Sb10g008790.1
fig|4558.4.peg.10220	Sb06g000790	Sb06g000790.1
fig|4558.4.peg.10221	Sb06g000800	Sb06g000800.1
fig|4558.4.peg.10222	Sb06g000810	Sb06g000810.1
fig|4558.4.peg.10223	Sb06g000813	Sb06g000813.1
fig|4558.4.peg.10224	Sb06g000816	Sb06g000816.1
fig|4558.4.peg.10225	Sb06g000820	Sb06g000820.1
fig|4558.4.peg.10226	Sb06g000830	Sb06g000830.1
fig|4558.4.peg.10227	Sb06g000840	Sb06g000840.1
fig|4558.4.peg.10228	Sb06g000850	Sb06g000850.1
fig|4558.4.peg.10229	Sb06g000860	Sb06g000860.1
fig|4558.4.peg.1023	Sb10g008800	Sb10g008800.1
fig|4558.4.peg.10230	Sb06g000870	Sb06g000870.1
fig|4558.4.peg.10231	Sb06g000880	Sb06g000880.1
fig|4558.4.peg.10232	Sb06g000890	Sb06g000890.1
fig|4558.4.peg.10233	Sb06g000900	Sb06g000900.1
fig|4558.4.peg.10234	Sb06g000910	Sb06g000910.1
fig|4558.4.peg.10235	Sb06g000920	Sb06g000920.1
fig|4558.4.peg.10236	Sb06g000930	Sb06g000930.1
fig|4558.4.peg.10237	Sb06g000940	Sb06g000940.1
fig|4558.4.peg.10238	Sb06g000950	Sb06g000950.1
fig|4558.4.peg.10239	Sb06g000960	Sb06g000960.1
fig|4558.4.peg.1024	Sb10g008810	Sb10g008810.1
fig|4558.4.peg.10240	Sb06g000970	Sb06g000970.1
fig|4558.4.peg.10241	Sb06g000980	Sb06g000980.1
fig|4558.4.peg.10242	Sb06g000985	Sb06g000985.1
fig|4558.4.peg.10243	Sb06g000990	Sb06g000990.1
fig|4558.4.peg.10244	Sb06g000995	Sb06g000995.1
fig|4558.4.peg.10245	Sb06g001000	Sb06g001000.1
fig|4558.4.peg.10246	Sb06g001010	Sb06g001010.1
fig|4558.4.peg.10247	Sb06g001020	Sb06g001020.1
fig|4558.4.peg.10248	Sb06g001030	Sb06g001030.1
fig|4558.4.peg.10249	Sb06g001033	Sb06g001033.1
fig|4558.4.peg.1025	Sb10g008820	Sb10g008820.1
fig|4558.4.peg.10250	Sb06g001036	Sb06g001036.1
fig|4558.4.peg.10251	Sb06g001040	Sb06g001040.1
fig|4558.4.peg.10252	Sb06g001050	Sb06g001050.1
fig|4558.4.peg.10253	Sb06g001055	Sb06g001055.1
fig|4558.4.peg.10254	Sb06g001060	Sb06g001060.1
fig|4558.4.peg.10255	Sb06g001070	Sb06g001070.1
fig|4558.4.peg.10256	Sb06g001080	Sb06g001080.1
