fig|3847.5.peg.10198	GLYMA04G41440	GLYMA04G41440.2
fig|3847.5.peg.10199	GLYMA04G41450	GLYMA04G41450.2
fig|3847.5.peg.102	GLYMA01G01365	GLYMA01G01365.1
fig|3847.5.peg.1020	GLYMA01G26681	GLYMA01G26681.1
fig|3847.5.peg.10200	GLYMA04G41460	GLYMA04G41460.1
fig|3847.5.peg.10201	GLYMA04G41480	GLYMA04G41480.1
fig|3847.5.peg.10202	GLYMA04G41490	GLYMA04G41490.1
fig|3847.5.peg.10203	GLYMA04G41500	GLYMA04G41500.1
fig|3847.5.peg.10204	GLYMA04G41510	GLYMA04G41510.2
fig|3847.5.peg.10205	GLYMA04G41520	GLYMA04G41520.1
fig|3847.5.peg.10206	GLYMA04G41530	GLYMA04G41530.1
fig|3847.5.peg.10207	GLYMA04G41540	GLYMA04G41540.1
fig|3847.5.peg.10208	GLYMA04G41570	GLYMA04G41570.3
fig|3847.5.peg.10209	GLYMA04G41580	GLYMA04G41580.1
fig|3847.5.peg.1021	GLYMA01G26690	GLYMA01G26690.3
fig|3847.5.peg.10210	GLYMA04G41590	GLYMA04G41590.1
fig|3847.5.peg.10211	GLYMA04G41600	GLYMA04G41600.1
fig|3847.5.peg.10212	GLYMA04G41610	GLYMA04G41610.1
fig|3847.5.peg.10213	GLYMA04G41620	GLYMA04G41620.1
fig|3847.5.peg.10214	GLYMA04G41630	GLYMA04G41630.1
fig|3847.5.peg.10215	GLYMA04G41641	GLYMA04G41641.1
fig|3847.5.peg.10216	GLYMA04G41651	GLYMA04G41651.1
fig|3847.5.peg.10217	GLYMA04G41660	GLYMA04G41660.1
fig|3847.5.peg.10218	GLYMA04G41670	GLYMA04G41670.1
fig|3847.5.peg.10219	GLYMA04G41680	GLYMA04G41680.1
fig|3847.5.peg.1022	GLYMA01G26700	GLYMA01G26700.1
fig|3847.5.peg.10220	GLYMA04G41691	GLYMA04G41691.1
fig|3847.5.peg.10221	GLYMA04G41701	GLYMA04G41701.1
fig|3847.5.peg.10222	GLYMA04G41710	GLYMA04G41710.1
fig|3847.5.peg.10223	GLYMA04G41720	GLYMA04G41720.1
fig|3847.5.peg.10224	GLYMA04G41730	GLYMA04G41730.1
fig|3847.5.peg.10225	GLYMA04G41740	GLYMA04G41740.1
fig|3847.5.peg.10226	GLYMA04G41750	GLYMA04G41750.2
fig|3847.5.peg.10227	GLYMA04G41760	GLYMA04G41760.1
fig|3847.5.peg.10228	GLYMA04G41770	GLYMA04G41770.1
fig|3847.5.peg.10229	GLYMA04G41780	GLYMA04G41780.1
fig|3847.5.peg.1023	GLYMA01G26750	GLYMA01G26750.1
fig|3847.5.peg.10230	GLYMA04G41800	GLYMA04G41800.1
fig|3847.5.peg.10231	GLYMA04G41810	GLYMA04G41810.1
fig|3847.5.peg.10232	GLYMA04G41820	GLYMA04G41820.1
fig|3847.5.peg.10233	GLYMA04G41830	GLYMA04G41830.2
fig|3847.5.peg.10234	GLYMA04G41845	GLYMA04G41845.1
fig|3847.5.peg.10235	GLYMA04G41860	GLYMA04G41860.1
fig|3847.5.peg.10236	GLYMA04G41870	GLYMA04G41870.1
fig|3847.5.peg.10237	GLYMA04G41880	GLYMA04G41880.1
fig|3847.5.peg.10238	GLYMA04G41891	GLYMA04G41891.1
fig|3847.5.peg.10239	GLYMA04G41900	GLYMA04G41900.1
fig|3847.5.peg.1024	GLYMA01G26766	GLYMA01G26766.1
fig|3847.5.peg.10240	GLYMA04G41930	GLYMA04G41930.1
fig|3847.5.peg.10241	GLYMA04G41910	GLYMA04G41910.1
fig|3847.5.peg.10242	GLYMA04G41941	GLYMA04G41941.4
fig|3847.5.peg.10243	GLYMA04G41950	GLYMA04G41950.1
fig|3847.5.peg.10244	GLYMA04G41960	GLYMA04G41960.1
fig|3847.5.peg.10245	GLYMA04G41970	GLYMA04G41970.3
fig|3847.5.peg.10246	GLYMA04G41980	GLYMA04G41980.1
fig|3847.5.peg.10247	GLYMA04G41990	GLYMA04G41990.1
fig|3847.5.peg.10248	GLYMA04G42000	GLYMA04G42000.1
fig|3847.5.peg.10249	GLYMA04G42010	GLYMA04G42010.2
fig|3847.5.peg.1025	GLYMA01G26783	GLYMA01G26783.1
fig|3847.5.peg.10250	GLYMA04G42020	GLYMA04G42020.1
fig|3847.5.peg.10251	GLYMA04G42030	GLYMA04G42030.1
fig|3847.5.peg.10252	GLYMA04G42040	GLYMA04G42040.2
fig|3847.5.peg.10253	GLYMA04G42047	GLYMA04G42047.1
fig|3847.5.peg.10254	GLYMA04G42054	GLYMA04G42054.1
fig|3847.5.peg.10255	GLYMA04G42062	GLYMA04G42062.1
fig|3847.5.peg.10256	GLYMA04G42070	GLYMA04G42070.2
fig|3847.5.peg.10257	GLYMA04G42080	GLYMA04G42080.1
fig|3847.5.peg.10258	GLYMA04G42090	GLYMA04G42090.3
fig|3847.5.peg.10259	GLYMA04G42110	GLYMA04G42110.2
fig|3847.5.peg.1026	GLYMA01G26800	GLYMA01G26800.1
fig|3847.5.peg.10260	GLYMA04G42120	GLYMA04G42120.1
fig|3847.5.peg.10261	GLYMA04G42130	GLYMA04G42130.1
fig|3847.5.peg.10262	GLYMA04G42140	GLYMA04G42140.2
fig|3847.5.peg.10263	GLYMA04G42160	GLYMA04G42160.3
fig|3847.5.peg.10264	GLYMA04G42167	GLYMA04G42167.1
fig|3847.5.peg.10265	GLYMA04G42174	GLYMA04G42174.1
fig|3847.5.peg.10266	GLYMA04G42182	GLYMA04G42182.1
fig|3847.5.peg.10267	GLYMA04G42190	GLYMA04G42190.1
fig|3847.5.peg.10268	GLYMA04G42200	GLYMA04G42200.1
fig|3847.5.peg.10269	GLYMA04G42211	GLYMA04G42211.1
fig|3847.5.peg.1027	GLYMA01G26813	GLYMA01G26813.1
fig|3847.5.peg.10270	GLYMA04G42220	GLYMA04G42220.1
fig|3847.5.peg.10271	GLYMA04G42230	GLYMA04G42230.2
fig|3847.5.peg.10272	GLYMA04G42240	GLYMA04G42240.1
fig|3847.5.peg.10273	GLYMA04G42246	GLYMA04G42246.1
fig|3847.5.peg.10274	GLYMA04G42253	GLYMA04G42253.1
fig|3847.5.peg.10275	GLYMA04G42260	GLYMA04G42260.1
fig|3847.5.peg.10276	GLYMA04G42270	GLYMA04G42270.1
fig|3847.5.peg.10277	GLYMA04G42280	GLYMA04G42280.2
fig|3847.5.peg.10278	GLYMA04G42290	GLYMA04G42290.1
fig|3847.5.peg.10279	GLYMA04G42300	GLYMA04G42300.1
fig|3847.5.peg.1028	GLYMA01G26826	GLYMA01G26826.1
fig|3847.5.peg.10280	GLYMA04G42310	GLYMA04G42310.1
fig|3847.5.peg.10281	GLYMA04G42321	GLYMA04G42321.1
fig|3847.5.peg.10282	GLYMA04G42330	GLYMA04G42330.1
fig|3847.5.peg.10283	GLYMA04G42341	GLYMA04G42341.1
fig|3847.5.peg.10284	GLYMA04G42350	GLYMA04G42350.1
